src,dst,weight
RG 1.206,RG 1.216,1
RG 1.206,SRP 10.4.1,1
RG 1.206,SRP 13.3,1
RG 1.206,SRP 2.4.12,1
RG 1.206,SRP 2.4.6,1
RG 1.206,SRP 3.3.1,1
RG 1.206,SRP 3.9.3,1
RG 1.206,SRP 3.9.5,1
RG 1.206,SRP 9.2.7,1
RG 1.216,SRP 14.3.10,1
RG 1.23,RG 4.21,1
RG 1.26,SRP 13.2.2,1
RG 1.26,SRP 14.3.10,1
RG 1.28,RG 1.33,1
RG 1.28,SRP 13.2.2,1
RG 1.28,SRP 13.5.1,1
RG 1.28,SRP 17.5,1
RG 1.28,SRP 3.8.5,1
RG 1.29,RG 1.32,1
RG 1.29,RG 1.57,1
RG 1.29,RG 1.61,1
RG 1.29,SRP 10.3.6,1
RG 1.29,SRP 11.2,1
RG 1.29,SRP 13.2.2,1
RG 1.29,SRP 19.3,1
RG 1.29,SRP 2.4.13,1
RG 1.29,SRP 2.5.2,1
RG 1.29,SRP 3.7.2,1
RG 1.29,SRP 3.9.3,1
RG 1.29,SRP 9.1.2,1
RG 1.32,RG 1.61,1
RG 1.32,RG 1.97,1
RG 1.32,SRP 13.3,1
RG 1.36,RG 1.44,1
RG 1.36,SRP 5.2.3,1
RG 1.44,RG 1.71,1
RG 1.53,RG 1.97,1
RG 1.57,SRP 19.0,1
RG 1.59,SRP 13.2.1,1
RG 1.59,SRP 2.5.2,1
RG 1.59,SRP 9.2.6,1
RG 1.61,SRP 19.3,1
RG 1.61,SRP 3.7.1,1
RG 1.61,SRP 3.9.2,1
RG 1.68,SRP 15.0.3,1
RG 1.68,SRP 3.9.2,1
RG 1.68,SRP 4.6,1
RG 1.71,SRP 3.9.1,1
RG 1.78,SRP 16.0,1
RG 1.8,SRP 19.3,1
RG 1.84,SRP 3.9.1,1
RG 1.97,SRP 3.9.2,1
RG 4.21,SRP 2.3.3,1
RG 4.21,SRP 2.4.1,1
SRP 10.4.1,SRP 11.2,1
SRP 10.4.5,SRP 13.2.2,1
SRP 11.2,SRP 11.4,1
SRP 11.2,SRP 3.4.2,1
SRP 11.2,SRP 3.7.1,1
SRP 11.3,SRP 2.3.1,1
SRP 11.3,SRP 2.3.3,1
SRP 13.1.1,SRP 13.3,1
SRP 13.2.1,SRP 13.3,1
SRP 13.2.1,SRP 19.3,1
SRP 13.2.1,SRP 2.4.6,1
SRP 13.2.1,SRP 3.8.5,1
SRP 13.2.1,SRP 3.9.2,1
SRP 13.2.2,SRP 17.5,1
SRP 13.2.2,SRP 3.7.1,1
SRP 13.2.2,SRP 8.3.1,1
SRP 13.2.2,SRP 9.1.3,1
SRP 13.3,SRP 13.6,1
SRP 14.2,SRP 14.3.10,1
SRP 14.2,SRP 15.0.3,1
SRP 14.2,SRP 15.4.8,1
SRP 14.2,SRP 4.6,1
SRP 14.2,SRP 5.2.3,1
SRP 14.3.10,SRP 19.0,1
SRP 14.3.10,SRP 9.1.1,1
SRP 15.0.3,SRP 2.3.4,1
SRP 15.0.3,SRP 4.6,1
SRP 15.4.8,SRP 5.2.3,1
SRP 17.5,SRP 3.8.5,1
SRP 19.0,SRP 2.5.4,1
SRP 19.3,SRP 2.4.1,1
SRP 2.3.1,SRP 2.3.5,1
SRP 2.4.12,SRP 2.5.4,1
SRP 2.4.13,SRP 3.3.1,1
SRP 2.4.2,SRP 2.4.4,1
SRP 2.4.3,SRP 2.4.4,1
SRP 2.4.5,SRP 2.4.6,1
SRP 2.5.1,SRP 2.5.4,1
SRP 2.5.2,SRP 2.5.4,1
SRP 2.5.3,SRP 2.5.4,1
SRP 3.3.1,SRP 3.4.2,1
SRP 3.3.1,SRP 3.7.1,1
SRP 3.4.2,SRP 3.7.1,1
SRP 3.7.2,SRP 3.9.1,1
SRP 3.7.2,SRP 3.9.2,1
SRP 3.7.2,SRP 3.9.3,1
SRP 3.9.1,SRP 3.9.2,1
